id,title,region,location,price,negotiable,age
,Land For Sale,Hume Area,Mickleham,"$267,000",,17/02/2020
,Land for sale in Woodlea- Nomination sale,Banyule Area,Macleod,"$301,900",,27/02/2020
,Premium Land in Atherstone for Sale - suitable for subdivision,Melton Area,Melton South,"$340,000",Negotiable,22/02/2020
,"Half acre block of land, one hour from Warnambool",Bayside Area,Hampton,"$20,000",Negotiable,27/02/2020
,Land for sale Kalkallo,Whittlesea Area,Donnybrook,"$9,250",,11/02/2020
,Wanted: Untitled block of Land for Sale in Berwick,Glen Eira Area,McKinnon,"$400,000",,29/02/2020
,448SQM Land for Sale in Tarneit,Wyndham Area,Tarneit,"$324,000",,29/02/2020
,Titled Land in Tarneit $325000 Negotiations,Wyndham Area,Tarneit,"$325,000",Negotiable,28/02/2020
,Land sale 286000 from 296000*392sq,Wyndham Area,Tarneit,"$286,000",,28/02/2020
,2.6 Acre Building Blocks of Land in Beautiful Gippsland. Bargain.,Casey Area,Berwick,"$179,850",,28/02/2020
,13 acres of land with water rights,Moreland Area,Coburg,"$120,000",Negotiable,28/02/2020
,502sqm land for a private home,Whittlesea Area,Wollert,"$335,000",,28/02/2020
,Premium Land for sale in Thornhill Park - 336 m2,Melton Area,Caroline Springs,"$285,000",Negotiable,28/02/2020
,"Titled land for sale in Thronhill park, Rockbank",Melton Area,Rockbank,"$370,000",,28/02/2020
,Land for sale in plumpton,Melton Area,Plumpton,"$33,500",Negotiable,28/02/2020
,Land for sale St Leonard’s,Hume Area,Melbourne Airport,"$220,000",Negotiable,28/02/2020
,"Quick sale 540 sq meters for$ 3,80,000 ",Wyndham Area,Tarneit,"$380,000",Negotiable,27/02/2020
,Land for sale in Woodlea- Nomination sale,Banyule Area,Macleod,"$301,900",,27/02/2020
,Land For Sale Berwick,Monash Area,Chadstone,"$567,000",,27/02/2020
,Botanical estate stage 9a,Hume Area,Mickleham,"$310,000",,27/02/2020
,TITLED BLOCK OF LAND 350²m WESTWOOD ESTATE Fraser Rise,Melton Area,Plumpton,"$336,500",,27/02/2020
,LAND FOR SALE CRAIGIEBURN $298500,Hume Area,Craigieburn,"$298,500",,27/02/2020
,"Half acre block of land, one hour from Warnambool",Bayside Area,Hampton,"$20,000",Negotiable,27/02/2020
,*****LAND FOR URGENT SALE****,Wyndham Area,Wyndham Vale,"$325,000",Negotiable,27/02/2020
,"Titled land for sale in Thronhill park, Milton",Melton Area,Rockbank,"$370,000",,27/02/2020
,Land for sale in wodlea,Hobsons Bay Area,Altona,"$374,000",Negotiable,27/02/2020
,"448 sqm, Riverwalk, Titled, NE Facing",Wyndham Area,Werribee,"$330,000",,27/02/2020
," 6 cockatoo rd,  greenvale",Hume Area,Meadow Heights,"$420,000",,27/02/2020
,Titled Land for sale in kalkallo,Casey Area,Cranbourne North,"$272,000",Negotiable,27/02/2020
